NumA,Silver_thickness_nm,Gold_thickness_nm,Copper_thickness_nm,Aluminum_thickness_nm,Graphene_layers,Sensing_length_mm,n_sens,Resonance_lambda_nm,FWHM_nm,Sensitivity_nm_per_RIU
0.2,40,39,35,41,2,5,1.36,917.73,38.13,9983.28
0.2,35,36,35,41,4,6,1.35,813.38,40.13,9966.56
0.2,39,38,37,41,4,6,1.34,717.06,38.13,9933.11
0.2,35,41,37,42,4,8,1.33,616.72,40.13,9832.78
0.2,40,41,38,37,5,5,1.33,618.73,40.13,10033.44
0.2,39,36,39,41,4,7,1.36,917.73,38.13,9983.28
0.2,37,35,38,40,3,6,1.34,715.05,38.13,10033.44
0.2,40,38,40,42,2,7,1.35,819.4,38.13,9966.56
0.2,36,37,38,37,5,6,1.33,614.72,40.13,10033.44
0.2,39,41,35,39,4,5,1.34,717.06,38.13,10033.44
0.2,37,42,41,42,3,8,1.33,620.74,38.13,10033.44
0.2,39,36,39,42,1,5,1.33,618.73,40.13,10033.44
0.2,39,38,38,40,4,7,1.36,917.73,38.13,9983.28
0.2,35,39,36,42,2,6,1.34,715.05,40.13,9933.11
0.2,39,40,41,41,5,5,1.33,620.74,38.13,10033.44
0.2,36,35,36,40,5,7,1.35,813.38,40.13,9966.56
0.2,42,36,40,42,5,7,1.35,819.4,38.13,9966.56
0.2,36,42,39,42,4,8,1.33,618.73,40.13,9832.78
0.2,36,36,35,38,4,8,1.36,911.71,40.13,9983.28
0.2,41,42,37,39,5,8,1.34,719.06,38.13,9933.11
0.2,39,37,40,35,5,7,1.35,815.38,38.13,9966.56
0.2,39,38,39,36,3,5,1.33,616.72,40.13,10033.44
0.2,39,38,36,39,5,7,1.33,616.72,40.13,10033.44
0.2,39,38,38,41,3,8,1.33,618.73,40.13,10033.44
0.2,38,41,38,38,1,7,1.33,616.72,40.13,9832.78
0.2,42,42,40,36,4,8,1.35,819.4,38.13,9966.56
0.2,42,35,42,40,5,7,1.36,919.73,38.13,9983.28
0.2,38,42,39,40,1,5,1.33,618.73,40.13,9832.78
0.2,37,40,37,36,1,5,1.35,815.38,40.13,10033.44
0.2,36,37,36,38,3,5,1.35,813.38,40.13,9966.56
0.2,41,42,35,41,1,5,1.33,618.73,40.13,9832.78
0.2,42,35,40,42,4,7,1.33,618.73,40.13,9832.78
0.2,42,42,41,39,3,8,1.34,721.07,38.13,9933.11
0.2,41,36,37,37,3,8,1.33,614.72,40.13,9832.78
0.2,39,37,38,36,1,5,1.34,715.05,38.13,10033.44
0.2,35,41,36,41,1,5,1.35,817.39,40.13,10033.44
0.2,36,39,39,39,2,6,1.33,616.72,38.13,10033.44
0.2,42,41,42,35,1,5,1.35,819.4,38.13,9966.56
